coral_id,bouyantweight_g,temp_c,date,group,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite,density_stopper,density_sw,vol_coral_cm3,dry_mass_coral_g
9,6.11,25.3,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,3.1949123911972324,9.361093306207891
90,5.709,25.4,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,2.985229924933715,8.746723680055785
25,6.376,25.4,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,3.33400350348176,9.768630265201557
26,5.113,25.4,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,2.673582169589435,7.833595756897045
104,8.206,25.4,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,4.2909085240858404,12.572361975571512
87,4.73,25.4,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,2.47331188385645,7.246803819699399
106,6.809,25.3,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,3.5604187351328895,10.432026893939367
15,5.509,25.3,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,2.880650141261138,8.440304913895135
69,4.834,25.3,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,2.5276933713661895,7.406141578102936
49,6.243,24.9,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,3.264457947339496,9.564861785704723
52,4.465,25,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,2.334743670490285,6.8407989545365355
103,6.358,25,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,3.3245913229512274,9.741052576247096
41,7.015,25.2,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,3.6681359123156434,10.747638223084836
85,6.692,25.2,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,3.4992395616844316,10.252771915735385
19,5.213,25.2,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,2.7258720614257235,7.9868051399773705
57,5.745,25.2,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,3.004054285994779,8.801879057964703
5,10.519,25.2,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,5.500373722259195,16.116095006219442
59,5.602,25.2,20230701,1,25.2,47.325,23.2,26.057,25.4,25.607,27.5,2.93,2.2173858613880006,1.0175844931352267,2.9292797406688864,8.582789640159838
24,5.294,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,2.762702912360832,8.094719533217239
46,5.681,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,2.964660983211539,8.68645668080981
97,7.615,24.2,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.973929481984839,11.64361338221558
51,5.132,24.2,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,2.678162324562862,7.847015610969185
98,7.649,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.9916725683128083,11.695600625156528
23,4.962,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,2.5894468929230166,7.587079396264439
76,6.556,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.4212845284166256,10.024363668260714
7,8.486,24.2,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,4.428465605268989,12.975404223438138
18,6.349,24.2,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.313260444008108,9.707853100943757
81,6.474,24,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.3784923790374064,9.898982670579601
92,5.27,24,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,2.750178380835207,8.058022655847157
43,7.636,24,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.984888447069761,11.6757231499144
74,5.689,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,2.968835827053414,8.698688973266504
32,7.416,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.8700802414181967,11.339335107355318
58,4.583,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,2.391663665914185,7.007574541128562
56,5.928,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.093559286829432,9.064128710410237
3,6.812,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,3.554879531356628,10.415797026874921
63,5.111,24.1,20230701,1,20.8,47.328,22.4,25.967,24.1,25.597,27.5,2.93,2.2078719161087963,1.0137606619540283,2.6672033594779396,7.814905843270363
34,5.682,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.981572813768357,8.736008344341286
11,6.253,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.2811993672111113,9.613914145928556
62,4.985,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.61582901735925,7.6643790208626035
108,5.698,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.9899686541450365,8.760608156644958
101,5.175,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.7155296218323204,7.956501791968699
54,4.778,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.507207832485957,7.346118949183854
75,6.775,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.5551136595002846,10.416483022335834
78,6.156,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.230299584927491,9.46477778383755
77,5.13,24,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.691916320772909,7.887314819864624
29,6.019,23.7,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,3.158410201702172,9.254141890987365
68,4.938,23.8,20230702,2,24.2,47.288,24.5,26.135,23.8,25.545,27.5,2.93,2.227697820640099,1.0242944026851986,2.591166236252753,7.592117072220567
