"PreSens Measurement Studio 2","4.0.0.2353",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit","Cal0_Amplitude","Cal0_Amplitude_Unit","Cal2nd_Amplitude","Cal2nd_Amplitude_Unit"
"06/05/2023","11:39:46","2","default","425306393","OXY_CH2","0.000","min","77.141","μmol/L","Humid","21.956","deg","101695","µV","28.592","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287819.91","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:39:49","2","default","425306393","OXY_CH2","0.044","min","77.084","μmol/L","Humid","21.963","deg","101688","µV","28.599","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287755.28","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:39:52","2","default","425306393","OXY_CH2","0.101","min","77.058","μmol/L","Humid","21.967","deg","101688","µV","28.599","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287746.44","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:39:55","2","default","425306393","OXY_CH2","0.144","min","77.038","μmol/L","Humid","21.970","deg","101689","µV","28.599","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287715.84","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:39:58","2","default","425306393","OXY_CH2","0.194","min","77.055","μmol/L","Humid","21.969","deg","101691","µV","28.592","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287700.90","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:01","2","default","425306393","OXY_CH2","0.244","min","76.985","μmol/L","Humid","21.978","deg","101696","µV","28.599","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287709.46","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:04","2","default","425306393","OXY_CH2","0.294","min","77.025","μmol/L","Humid","21.975","deg","101700","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287666.90","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:07","2","default","425306393","OXY_CH2","0.344","min","76.999","μmol/L","Humid","21.979","deg","101692","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287657.73","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:10","2","default","425306393","OXY_CH2","0.394","min","77.005","μmol/L","Humid","21.978","deg","101697","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287647.06","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:13","2","default","425306393","OXY_CH2","0.444","min","76.979","μmol/L","Humid","21.982","deg","101700","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287641.78","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:16","2","default","425306393","OXY_CH2","0.494","min","76.952","μmol/L","Humid","21.983","deg","101700","µV","28.599","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287642.63","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:19","2","default","425306393","OXY_CH2","0.545","min","76.942","μmol/L","Humid","21.986","deg","101696","µV","28.592","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287620.78","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:22","2","default","425306393","OXY_CH2","0.594","min","76.939","μmol/L","Humid","21.988","deg","101690","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287589.06","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:25","2","default","425306393","OXY_CH2","0.644","min","76.889","μmol/L","Humid","21.994","deg","101695","µV","28.592","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287584.02","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:28","2","default","425306393","OXY_CH2","0.694","min","76.922","μmol/L","Humid","21.989","deg","101693","µV","28.592","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287606.12","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:31","2","default","425306393","OXY_CH2","0.744","min","76.932","μmol/L","Humid","21.989","deg","101693","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287576.18","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:34","2","default","425306393","OXY_CH2","0.794","min","76.866","μmol/L","Humid","21.996","deg","101693","µV","28.599","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287570.21","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:37","2","default","425306393","OXY_CH2","0.844","min","76.906","μmol/L","Humid","21.993","deg","101688","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287562.39","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:40","2","default","425306393","OXY_CH2","0.894","min","76.886","μmol/L","Humid","21.996","deg","101697","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287544.03","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:43","2","default","425306393","OXY_CH2","0.944","min","76.870","μmol/L","Humid","22.000","deg","101687","µV","28.580","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287544.37","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:46","2","default","425306393","OXY_CH2","0.994","min","76.896","μmol/L","Humid","21.996","deg","101687","µV","28.580","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287534.33","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:49","2","default","425306393","OXY_CH2","1.044","min","76.869","μmol/L","Humid","21.997","deg","101692","µV","28.592","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287535.50","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:52","2","default","425306393","OXY_CH2","1.094","min","76.843","μmol/L","Humid","22.001","deg","101692","µV","28.592","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287513.26","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:55","2","default","425306393","OXY_CH2","1.144","min","76.863","μmol/L","Humid","22.001","deg","101694","µV","28.580","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287514.35","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:40:58","2","default","425306393","OXY_CH2","1.195","min","76.870","μmol/L","Humid","22.000","deg","101693","µV","28.580","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287526.18","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:41:01","2","default","425306393","OXY_CH2","1.244","min","76.863","μmol/L","Humid","22.001","deg","101689","µV","28.580","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287525.85","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:41:04","2","default","425306393","OXY_CH2","1.294","min","76.794","μmol/L","Humid","22.010","deg","101694","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287508.73","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:41:07","2","default","425306393","OXY_CH2","1.344","min","76.807","μmol/L","Humid","22.008","deg","101692","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287504.68","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:41:10","2","default","425306393","OXY_CH2","1.394","min","76.823","μmol/L","Humid","22.004","deg","101693","µV","28.592","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287498.06","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:41:13","2","default","425306393","OXY_CH2","1.445","min","76.840","μmol/L","Humid","22.003","deg","101696","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287499.29","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:41:16","2","default","425306393","OXY_CH2","1.494","min","76.807","μmol/L","Humid","22.008","deg","101700","µV","28.586","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287488.78","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:41:19","2","default","425306393","OXY_CH2","1.544","min","76.804","μmol/L","Humid","22.010","deg","101702","µV","28.580","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287482.82","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
"06/05/2023","11:41:22","2","default","425306393","OXY_CH2","1.594","min","76.814","μmol/L","Humid","22.010","deg","101694","µV","28.574","°C","1017.000","hPa","0.0","pmil","0","55.406","deg","20.000","°C","100.000","μmol/L","21.186","deg","20.000","°C","1013.000","hPa","0.825","-0.013","0.000365","-0.00015","0","10","Humid","33.95","0","21.10","287484.43","SABD0002000026","AAV2.0.0.13","4.0.0.2353","PSt7-10","221103-057","5/24/2023 10:04:52 PM","0000-00","0","no battery","V","309572","µV","","µV"
