#,Date-Time (French Polynesia Standard Time),Ch:1 - Hot_sump   (°C),Chan 1 Alarm Tripped,Host Connected,Chan 1 Alarm Cleared,Button Down,Button Up,End of File
1,06/12/2023 13:58:45,23.08,Logged,,,,,
2,06/12/2023 13:59:15,,,Logged,,,,
3,06/12/2023 14:01:08,,,Logged,,,,
4,06/12/2023 14:08:45,28.23,,,23.08,,,
5,06/12/2023 14:18:45,28.53,,,,,,
6,06/12/2023 14:28:45,28.57,,,,,,
7,06/12/2023 14:38:45,28.48,,,,,,
8,06/12/2023 14:48:45,28.48,,,,,,
9,06/12/2023 14:58:45,28.44,,,,,,
10,06/12/2023 15:08:45,28.44,,,,,,
11,06/12/2023 15:18:45,28.44,,,,,,
12,06/12/2023 15:28:45,28.74,,,,,,
13,06/12/2023 15:38:45,29.00,,,,,,
14,06/12/2023 15:48:45,29.26,,,,,,
15,06/12/2023 15:58:45,29.43,,,,,,
16,06/12/2023 16:08:45,29.51,,,,,,
17,06/12/2023 16:18:45,29.60,,,,,,
18,06/12/2023 16:28:45,29.68,,,,,,
19,06/12/2023 16:38:45,29.68,,,,,,
20,06/12/2023 16:48:45,29.68,,,,,,
21,06/12/2023 16:58:45,29.60,,,,,,
22,06/12/2023 17:08:45,29.64,,,,,,
23,06/12/2023 17:18:45,29.64,,,,,,
24,06/12/2023 17:28:45,29.60,,,,,,
25,06/12/2023 17:38:45,29.60,,,,,,
26,06/12/2023 17:48:45,29.51,,,,,,
27,06/12/2023 17:58:45,29.56,,,,,,
28,06/12/2023 18:08:45,29.51,,,,,,
29,06/12/2023 18:18:45,29.51,,,,,,
30,06/12/2023 18:28:45,29.47,,,,,,
31,06/12/2023 18:38:45,29.56,,,,,,
32,06/12/2023 18:48:45,29.60,,,,,,
33,06/12/2023 18:58:45,29.60,,,,,,
34,06/12/2023 19:08:45,29.60,,,,,,
35,06/12/2023 19:18:45,29.60,,,,,,
36,06/12/2023 19:28:45,29.56,,,,,,
37,06/12/2023 19:38:45,29.56,,,,,,
38,06/12/2023 19:48:45,29.60,,,,,,
39,06/12/2023 19:58:45,29.73,,,,,,
40,06/12/2023 20:08:45,29.77,,,,,,
41,06/12/2023 20:18:45,29.64,,,,,,
42,06/12/2023 20:28:45,29.26,,,,,,
43,06/12/2023 20:38:45,29.43,,,,,,
44,06/12/2023 20:48:45,29.64,,,,,,
45,06/12/2023 20:58:45,29.73,,,,,,
46,06/12/2023 21:08:45,29.86,,,,,,
47,06/12/2023 21:18:45,29.47,,,,,,
48,06/12/2023 21:28:45,29.38,,,,,,
49,06/12/2023 21:38:45,29.56,,,,,,
50,06/12/2023 21:48:45,29.68,,,,,,
51,06/12/2023 21:58:45,29.73,,,,,,
52,06/12/2023 22:08:45,29.81,,,,,,
53,06/12/2023 22:18:45,29.56,,,,,,
54,06/12/2023 22:28:45,29.30,,,,,,
55,06/12/2023 22:38:45,29.43,,,,,,
56,06/12/2023 22:48:45,29.51,,,,,,
57,06/12/2023 22:58:45,29.60,,,,,,
58,06/12/2023 23:08:45,29.73,,,,,,
59,06/12/2023 23:18:45,29.77,,,,,,
60,06/12/2023 23:28:45,29.86,,,,,,
61,06/12/2023 23:38:45,29.51,,,,,,
62,06/12/2023 23:48:45,29.30,,,,,,
63,06/12/2023 23:58:45,29.47,,,,,,
64,06/13/2023 00:08:45,29.56,,,,,,
65,06/13/2023 00:18:45,29.64,,,,,,
66,06/13/2023 00:28:45,29.68,,,,,,
67,06/13/2023 00:38:45,29.68,,,,,,
68,06/13/2023 00:48:45,29.77,,,,,,
69,06/13/2023 00:58:45,29.73,,,,,,
70,06/13/2023 01:08:45,29.77,,,,,,
71,06/13/2023 01:18:45,29.81,,,,,,
72,06/13/2023 01:28:45,29.56,,,,,,
73,06/13/2023 01:38:45,29.26,,,,,,
74,06/13/2023 01:48:45,29.47,,,,,,
75,06/13/2023 01:58:45,29.56,,,,,,
76,06/13/2023 02:08:45,29.60,,,,,,
77,06/13/2023 02:18:45,29.64,,,,,,
78,06/13/2023 02:28:45,29.68,,,,,,
79,06/13/2023 02:38:45,29.68,,,,,,
80,06/13/2023 02:48:45,29.68,,,,,,
81,06/13/2023 02:58:45,29.73,,,,,,
82,06/13/2023 03:08:45,29.86,,,,,,
83,06/13/2023 03:18:45,29.73,,,,,,
84,06/13/2023 03:28:45,29.34,,,,,,
85,06/13/2023 03:38:45,29.43,,,,,,
86,06/13/2023 03:48:45,29.56,,,,,,
87,06/13/2023 03:58:45,29.60,,,,,,
88,06/13/2023 04:08:45,29.68,,,,,,
89,06/13/2023 04:18:45,29.77,,,,,,
90,06/13/2023 04:28:45,29.86,,,,,,
91,06/13/2023 04:38:45,29.47,,,,,,
92,06/13/2023 04:48:45,29.30,,,,,,
93,06/13/2023 04:58:45,29.47,,,,,,
94,06/13/2023 05:08:45,29.56,,,,,,
95,06/13/2023 05:18:45,29.56,,,,,,
96,06/13/2023 05:28:45,29.64,,,,,,
97,06/13/2023 05:38:45,29.68,,,,,,
98,06/13/2023 05:48:45,29.77,,,,,,
99,06/13/2023 05:58:45,29.81,,,,,,
100,06/13/2023 06:08:45,29.43,,,,,,
101,06/13/2023 06:18:45,29.30,,,,,,
102,06/13/2023 06:28:45,29.51,,,,,,
103,06/13/2023 06:38:45,29.60,,,,,,
104,06/13/2023 06:48:45,29.64,,,,,,
105,06/13/2023 06:58:45,29.77,,,,,,
106,06/13/2023 07:08:45,29.77,,,,,,
107,06/13/2023 07:18:45,29.68,,,,,,
108,06/13/2023 07:28:45,29.34,,,,,,
109,06/13/2023 07:38:45,29.47,,,,,,
110,06/13/2023 07:48:45,29.51,,,,,,
111,06/13/2023 07:58:45,29.73,,,,,,
112,06/13/2023 08:08:45,29.86,,,,,,
113,06/13/2023 08:18:45,29.77,,,,,,
