#,Date-Time (French Polynesia Standard Time),Ch:1 - Hot_sump   (°C),Chan 1 Alarm Tripped,Chan 1 Alarm Cleared,Button Down,Button Up,Host Connected,End of File
1,07/04/2023 20:36:32,26.30,Logged,,,,,
2,07/04/2023 20:46:32,27.88,,,,,,
3,07/04/2023 20:56:32,27.93,,,,,,
4,07/04/2023 21:06:32,27.93,,,,,,
5,07/04/2023 21:16:32,27.88,,,,,,
6,07/04/2023 21:26:32,27.84,,,,,,
7,07/04/2023 21:36:32,27.88,,,,,,
8,07/04/2023 21:46:32,27.88,,,,,,
9,07/04/2023 21:56:32,27.84,,,,,,
10,07/04/2023 22:06:32,27.84,,,,,,
11,07/04/2023 22:16:32,27.84,,,,,,
12,07/04/2023 22:26:32,27.84,,,,,,
13,07/04/2023 22:36:32,27.84,,,,,,
14,07/04/2023 22:46:32,27.84,,,,,,
15,07/04/2023 22:56:32,27.80,,,,,,
16,07/04/2023 23:06:32,27.80,,,,,,
17,07/04/2023 23:16:32,27.80,,,,,,
18,07/04/2023 23:26:32,27.75,,,,,,
19,07/04/2023 23:36:32,27.80,,,,,,
20,07/04/2023 23:46:32,27.80,,,,,,
21,07/04/2023 23:56:32,27.80,,,,,,
22,07/05/2023 00:06:32,27.75,,,,,,
23,07/05/2023 00:16:32,27.71,,,,,,
24,07/05/2023 00:26:32,27.71,,,,,,
25,07/05/2023 00:36:32,27.71,,,,,,
26,07/05/2023 00:46:32,27.67,,,,,,
27,07/05/2023 00:56:32,27.71,,,,,,
28,07/05/2023 01:06:32,27.67,,,,,,
29,07/05/2023 01:16:32,27.71,,,,,,
30,07/05/2023 01:26:32,27.75,,,,,,
31,07/05/2023 01:36:32,27.71,,,,,,
32,07/05/2023 01:46:32,27.71,,,,,,
33,07/05/2023 01:56:32,27.75,,,,,,
34,07/05/2023 02:06:32,27.71,,,,,,
35,07/05/2023 02:16:32,27.71,,,,,,
36,07/05/2023 02:26:32,27.67,,,,,,
37,07/05/2023 02:36:32,27.67,,,,,,
38,07/05/2023 02:46:32,27.58,,,,,,
39,07/05/2023 02:56:32,27.63,,,,,,
40,07/05/2023 03:06:32,27.63,,,,,,
41,07/05/2023 03:16:32,27.63,,,,,,
42,07/05/2023 03:26:32,27.63,,,,,,
43,07/05/2023 03:36:32,27.63,,,,,,
44,07/05/2023 03:46:32,27.54,,,,,,
45,07/05/2023 03:56:32,27.58,,,,,,
46,07/05/2023 04:06:32,27.63,,,,,,
47,07/05/2023 04:16:32,27.58,,,,,,
48,07/05/2023 04:26:32,27.63,,,,,,
49,07/05/2023 04:36:32,27.67,,,,,,
50,07/05/2023 04:46:32,27.63,,,,,,
51,07/05/2023 04:56:32,27.63,,,,,,
52,07/05/2023 05:06:32,27.63,,,,,,
53,07/05/2023 05:16:32,27.63,,,,,,
54,07/05/2023 05:26:32,27.63,,,,,,
55,07/05/2023 05:36:32,27.63,,,,,,
56,07/05/2023 05:46:32,27.67,,,,,,
57,07/05/2023 05:56:32,27.67,,,,,,
58,07/05/2023 06:06:32,27.67,,,,,,
59,07/05/2023 06:16:32,27.67,,,,,,
60,07/05/2023 06:26:32,27.67,,,,,,
61,07/05/2023 06:36:32,27.71,,,,,,
62,07/05/2023 06:46:32,27.71,,,,,,
63,07/05/2023 06:56:32,27.67,,,,,,
64,07/05/2023 07:06:32,27.75,,,,,,
65,07/05/2023 07:16:32,27.75,,,,,,
66,07/05/2023 07:26:32,27.75,,,,,,
67,07/05/2023 07:36:32,27.75,,,,,,
68,07/05/2023 07:46:32,27.84,,,,,,
69,07/05/2023 07:56:32,27.75,,,,,,
70,07/05/2023 08:06:32,27.80,,,,,,
71,07/05/2023 08:16:32,27.93,,,,,,
72,07/05/2023 08:26:32,27.97,,,,,,
73,07/05/2023 08:36:32,28.01,,26.30,,,,
74,07/05/2023 08:46:32,28.05,,,,,,
75,07/05/2023 08:56:32,28.10,,,,,,
76,07/05/2023 09:06:32,28.14,,,,,,
77,07/05/2023 09:16:32,28.14,,,,,,
78,07/05/2023 09:26:32,28.10,,,,,,
79,07/05/2023 09:36:32,28.14,,,,,,
80,07/05/2023 09:46:32,28.05,,,,,,
81,07/05/2023 09:56:32,28.05,,,,,,
82,07/05/2023 10:06:32,28.10,,,,,,
83,07/05/2023 10:16:32,28.14,,,,,,
84,07/05/2023 10:26:32,28.27,,,,,,
85,07/05/2023 10:36:32,28.31,,,,,,
86,07/05/2023 10:46:32,28.40,,,,,,
87,07/05/2023 10:56:32,28.57,,,,,,
88,07/05/2023 11:06:32,29.08,,,,,,
89,07/05/2023 11:16:32,29.30,,,,,,
90,07/05/2023 11:26:32,29.60,,,,,,
91,07/05/2023 11:36:32,29.86,,,,,,
92,07/05/2023 11:46:32,29.90,,,,,,
93,07/05/2023 11:56:32,29.98,,,,,,
94,07/05/2023 12:06:32,30.07,,,,,,
95,07/05/2023 12:16:32,30.07,,,,,,
96,07/05/2023 12:26:32,30.11,,,,,,
97,07/05/2023 12:36:32,30.11,,,,,,
98,07/05/2023 12:46:32,30.11,,,,,,
99,07/05/2023 12:56:32,30.16,,,,,,
100,07/05/2023 13:06:32,30.20,,,,,,
101,07/05/2023 13:16:32,30.20,,,,,,
102,07/05/2023 13:26:32,30.24,,,,,,
103,07/05/2023 13:36:32,30.24,,,,,,
104,07/05/2023 13:46:32,30.33,,,,,,
105,07/05/2023 13:56:32,30.33,,,,,,
106,07/05/2023 14:06:32,30.24,,,,,,
107,07/05/2023 14:16:32,30.16,,,,,,
108,07/05/2023 14:26:32,30.16,,,,,,
109,07/05/2023 14:36:32,30.07,,,,,,
110,07/05/2023 14:46:32,30.07,,,,,,
111,07/05/2023 14:56:32,30.11,,,,,,
112,07/05/2023 15:06:32,30.20,,,,,,
113,07/05/2023 15:16:32,30.20,,,,,,
114,07/05/2023 15:26:32,30.20,,,,,,
115,07/05/2023 15:36:32,30.16,,,,,,
116,07/05/2023 15:46:32,30.11,,,,,,
117,07/05/2023 15:56:32,30.11,,,,,,
118,07/05/2023 16:06:32,30.16,,,,,,
119,07/05/2023 16:16:32,30.07,,,,,,
120,07/05/2023 16:26:32,30.03,,,,,,
121,07/05/2023 16:36:32,29.98,,,,,,
122,07/05/2023 16:46:32,29.90,,,,,,
123,07/05/2023 16:56:32,29.90,,,,,,
124,07/05/2023 17:06:32,29.86,,,,,,
125,07/05/2023 17:16:32,29.81,,,,,,
126,07/05/2023 17:26:32,29.77,,,,,,
127,07/05/2023 17:36:32,29.77,,,,,,
128,07/05/2023 17:46:32,29.73,,,,,,
129,07/05/2023 17:56:32,29.68,,,,,,
130,07/05/2023 18:06:32,29.73,,,,,,
131,07/05/2023 18:16:32,29.64,,,,,,
132,07/05/2023 18:26:32,29.64,,,,,,
133,07/05/2023 18:36:32,29.60,,,,,,
134,07/05/2023 18:46:32,29.60,,,,,,
135,07/05/2023 18:56:32,29.64,,,,,,
136,07/05/2023 19:06:32,29.64,,,,,,
137,07/05/2023 19:16:32,29.68,,,,,,
138,07/05/2023 19:26:32,29.68,,,,,,
139,07/05/2023 19:36:32,29.64,,,,,,
140,07/05/2023 19:46:32,29.64,,,,,,
141,07/05/2023 19:56:32,29.64,,,,,,
142,07/05/2023 20:06:32,29.60,,,,,,
143,07/05/2023 20:16:32,29.64,,,,,,
144,07/05/2023 20:26:32,29.68,,,,,,
145,07/05/2023 20:36:32,29.60,,,,,,
146,07/05/2023 20:46:32,29.60,,,,,,
147,07/05/2023 20:56:32,29.60,,,,,,
148,07/05/2023 21:06:32,29.51,,,,,,
149,07/05/2023 21:16:32,29.56,,,,,,
150,07/05/2023 21:26:32,29.56,,,,,,
151,07/05/2023 21:36:32,29.51,,,,,,
152,07/05/2023 21:46:32,29.51,,,,,,
153,07/05/2023 21:56:32,29.51,,,,,,
154,07/05/2023 22:06:32,29.51,,,,,,
155,07/05/2023 22:16:32,29.51,,,,,,
156,07/05/2023 22:26:32,29.51,,,,,,
157,07/05/2023 22:36:32,29.51,,,,,,
158,07/05/2023 22:46:32,29.51,,,,,,
159,07/05/2023 22:56:32,29.51,,,,,,
160,07/05/2023 23:06:32,29.47,,,,,,
161,07/05/2023 23:16:32,29.38,,,,,,
162,07/05/2023 23:26:32,29.43,,,,,,
163,07/05/2023 23:36:32,29.43,,,,,,
164,07/05/2023 23:46:32,29.38,,,,,,
165,07/05/2023 23:56:32,29.47,,,,,,
166,07/06/2023 00:06:32,29.51,,,,,,
167,07/06/2023 00:16:32,29.51,,,,,,
168,07/06/2023 00:26:32,29.56,,,,,,
169,07/06/2023 00:36:32,29.60,,,,,,
170,07/06/2023 00:46:32,29.60,,,,,,
171,07/06/2023 00:56:32,29.60,,,,,,
172,07/06/2023 01:06:32,29.60,,,,,,
173,07/06/2023 01:16:32,29.64,,,,,,
174,07/06/2023 01:26:32,29.60,,,,,,
175,07/06/2023 01:36:32,29.60,,,,,,
176,07/06/2023 01:46:32,29.60,,,,,,
177,07/06/2023 01:56:32,29.60,,,,,,
178,07/06/2023 02:06:32,29.64,,,,,,
179,07/06/2023 02:16:32,29.68,,,,,,
180,07/06/2023 02:26:32,29.81,,,,,,
181,07/06/2023 02:36:32,29.94,,,,,,
182,07/06/2023 02:46:32,29.98,,,,,,
183,07/06/2023 02:56:32,30.16,,,,,,
184,07/06/2023 03:06:32,30.16,,,,,,
185,07/06/2023 03:16:32,30.24,,,,,,
186,07/06/2023 03:26:32,30.33,,,,,,
187,07/06/2023 03:36:32,30.37,,,,,,
188,07/06/2023 03:46:32,30.46,,,,,,
189,07/06/2023 03:56:32,30.50,,,,,,
190,07/06/2023 04:06:32,30.54,,,,,,
191,07/06/2023 04:16:32,30.54,,,,,,
192,07/06/2023 04:26:32,30.59,,,,,,
193,07/06/2023 04:36:32,30.59,,,,,,
194,07/06/2023 04:46:32,30.59,,,,,,
195,07/06/2023 04:56:32,30.67,,,,,,
196,07/06/2023 05:06:32,30.67,,,,,,
197,07/06/2023 05:16:32,30.63,,,,,,
198,07/06/2023 05:26:32,30.67,,,,,,
199,07/06/2023 05:36:32,30.71,,,,,,
200,07/06/2023 05:46:32,30.67,,,,,,
201,07/06/2023 05:56:32,30.63,,,,,,
202,07/06/2023 06:06:32,30.63,,,,,,
203,07/06/2023 06:16:32,30.67,,,,,,
204,07/06/2023 06:26:32,30.63,,,,,,
205,07/06/2023 06:36:32,30.50,,,,,,
206,07/06/2023 06:46:32,30.41,,,,,,
207,07/06/2023 06:56:32,30.37,,,,,,
208,07/06/2023 07:06:32,30.41,,,,,,
209,07/06/2023 07:16:32,30.50,,,,,,
210,07/06/2023 07:26:32,30.54,,,,,,
211,07/06/2023 07:36:32,30.59,,,,,,
212,07/06/2023 07:46:32,30.67,,,,,,
213,07/06/2023 07:56:32,30.67,,,,,,
214,07/06/2023 08:06:32,30.76,,,,,,
215,07/06/2023 08:16:32,30.80,,,,,,
216,07/06/2023 08:26:32,30.84,,,,,,
217,07/06/2023 08:36:32,30.84,,,,,,
218,07/06/2023 08:46:32,30.80,,,,,,
219,07/06/2023 08:56:32,30.84,,,,,,
220,07/06/2023 09:06:32,30.80,,,,,,
221,07/06/2023 09:16:32,30.80,,,,,,
222,07/06/2023 09:26:32,30.71,,,,,,
223,07/06/2023 09:36:32,30.63,,,,,,
224,07/06/2023 09:46:32,30.54,,,,,,
225,07/06/2023 09:56:32,30.59,,,,,,
226,07/06/2023 10:06:32,30.50,,,,,,
227,07/06/2023 10:16:32,30.54,,,,,,
228,07/06/2023 10:26:32,30.59,,,,,,
229,07/06/2023 10:36:32,30.63,,,,,,
230,07/06/2023 10:46:32,30.67,,,,,,
231,07/06/2023 10:56:32,30.76,,,,,,
232,07/06/2023 11:06:32,30.84,,,,,,
233,07/06/2023 11:16:32,30.93,,,,,,
234,07/06/2023 11:26:32,30.89,,,,,,
235,07/06/2023 11:36:32,30.97,,,,,,
236,07/06/2023 11:46:32,30.84,,,,,,
237,07/06/2023 11:56:32,30.84,,,,,,
238,07/06/2023 12:06:32,30.76,,,,,,
239,07/06/2023 12:16:32,30.71,,,,,,
240,07/06/2023 12:26:32,30.76,,,,,,
241,07/06/2023 12:36:32,30.76,,,,,,
242,07/06/2023 12:46:32,30.76,,,,,,
243,07/06/2023 12:56:32,30.76,,,,,,
244,07/06/2023 13:06:32,30.63,,,,,,
245,07/06/2023 13:16:32,30.24,,,,,,
246,07/06/2023 13:26:32,29.90,,,,,,
247,07/06/2023 13:36:32,29.68,,,,,,
248,07/06/2023 13:46:32,29.43,,,,,,
249,07/06/2023 13:56:32,29.68,,,,,,
250,07/06/2023 14:06:32,29.98,,,,,,
251,07/06/2023 14:16:32,29.86,,,,,,
252,07/06/2023 14:26:32,29.60,,,,,,
253,07/06/2023 14:36:32,29.43,,,,,,
254,07/06/2023 14:46:32,29.81,,,,,,
255,07/06/2023 14:56:32,30.03,,,,,,
256,07/06/2023 15:06:32,29.90,,,,,,
257,07/06/2023 15:16:32,29.73,,,,,,
258,07/06/2023 15:26:32,29.64,,,,,,
259,07/06/2023 15:36:32,29.51,,,,,,
260,07/06/2023 15:46:32,29.47,,,,,,
261,07/06/2023 15:56:32,29.38,,,,,,
262,07/06/2023 16:06:32,29.60,,,,,,
263,07/06/2023 16:16:32,29.98,,,,,,
264,07/06/2023 16:26:32,29.73,,,,,,
265,07/06/2023 16:36:32,29.60,,,,,,
266,07/06/2023 16:46:32,29.34,,,,,,
267,07/06/2023 16:56:32,29.68,,,,,,
268,07/06/2023 17:06:32,29.98,,,,,,
269,07/06/2023 17:16:32,29.64,,,,,,
270,07/06/2023 17:26:32,29.47,,,,,,
271,07/06/2023 17:36:32,29.34,,,,,,
272,07/06/2023 17:46:32,29.73,,,,,,
273,07/06/2023 17:56:32,29.81,,,,,,
274,07/06/2023 18:06:32,29.56,,,,,,
275,07/06/2023 18:16:32,29.38,,,,,,
276,07/06/2023 18:26:32,29.73,,,,,,
277,07/06/2023 18:36:32,29.90,,,,,,
278,07/06/2023 18:46:32,29.64,,,,,,
279,07/06/2023 18:56:32,29.34,,,,,,
280,07/06/2023 19:06:32,29.13,,,,,,
281,07/06/2023 19:16:32,29.04,,,,,,
282,07/06/2023 19:26:32,29.43,,,,,,
283,07/06/2023 19:36:32,29.17,,,,,,
284,07/06/2023 19:46:32,29.08,,,,,,
285,07/06/2023 19:56:32,28.95,,,,,,
286,07/06/2023 20:06:32,28.87,,,,,,
287,07/06/2023 20:16:32,28.87,,,,,,
288,07/06/2023 20:26:32,28.87,,,,,,
289,07/06/2023 20:36:32,28.83,,,,,,
290,07/06/2023 20:46:32,28.78,,,,,,
291,07/06/2023 20:56:32,28.74,,,,,,
292,07/06/2023 21:06:32,28.74,,,,,,
293,07/06/2023 21:16:32,28.70,,,,,,
294,07/06/2023 21:26:32,28.70,,,,,,
295,07/06/2023 21:36:32,28.65,,,,,,
296,07/06/2023 21:46:32,28.70,,,,,,
297,07/06/2023 21:56:32,28.65,,,,,,
298,07/06/2023 22:06:32,28.70,,,,,,
299,07/06/2023 22:16:32,28.65,,,,,,
300,07/06/2023 22:26:32,28.65,,,,,,
301,07/06/2023 22:36:32,28.70,,,,,,
302,07/06/2023 22:46:32,28.70,,,,,,
303,07/06/2023 22:56:32,28.70,,,,,,
304,07/06/2023 23:06:32,28.70,,,,,,
305,07/06/2023 23:16:32,28.65,,,,,,
306,07/06/2023 23:26:32,28.65,,,,,,
307,07/06/2023 23:36:32,28.61,,,,,,
308,07/06/2023 23:46:32,28.65,,,,,,
309,07/06/2023 23:56:32,28.65,,,,,,
310,07/07/2023 00:06:32,28.61,,,,,,
311,07/07/2023 00:16:32,28.61,,,,,,
312,07/07/2023 00:26:32,28.61,,,,,,
313,07/07/2023 00:36:32,28.61,,,,,,
314,07/07/2023 00:46:32,28.65,,,,,,
315,07/07/2023 00:56:32,28.65,,,,,,
316,07/07/2023 01:06:32,28.61,,,,,,
317,07/07/2023 01:16:32,28.61,,,,,,
318,07/07/2023 01:26:32,28.65,,,,,,
319,07/07/2023 01:36:32,28.61,,,,,,
320,07/07/2023 01:46:32,28.65,,,,,,
321,07/07/2023 01:56:32,28.61,,,,,,
322,07/07/2023 02:06:32,28.61,,,,,,
323,07/07/2023 02:16:32,28.61,,,,,,
324,07/07/2023 02:26:32,28.61,,,,,,
325,07/07/2023 02:36:32,28.65,,,,,,
326,07/07/2023 02:46:32,28.61,,,,,,
327,07/07/2023 02:56:32,28.61,,,,,,
328,07/07/2023 03:06:32,28.61,,,,,,
329,07/07/2023 03:16:32,28.61,,,,,,
330,07/07/2023 03:26:32,28.65,,,,,,
331,07/07/2023 03:36:32,28.57,,,,,,
332,07/07/2023 03:46:32,28.53,,,,,,
333,07/07/2023 03:56:32,28.53,,,,,,
334,07/07/2023 04:06:32,28.61,,,,,,
335,07/07/2023 04:16:32,28.61,,,,,,
336,07/07/2023 04:26:32,28.57,,,,,,
337,07/07/2023 04:36:32,28.61,,,,,,
338,07/07/2023 04:46:32,28.61,,,,,,
339,07/07/2023 04:56:32,28.61,,,,,,
340,07/07/2023 05:06:32,28.61,,,,,,
341,07/07/2023 05:16:32,28.53,,,,,,
342,07/07/2023 05:26:32,28.53,,,,,,
343,07/07/2023 05:36:32,28.53,,,,,,
