#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/12/2023 14:12:55,30.89,,,,
2,06/12/2023 14:22:55,28.83,,,,
3,06/12/2023 14:32:55,28.83,,,,
4,06/12/2023 14:42:55,28.83,,,,
5,06/12/2023 14:52:55,28.74,,,,
6,06/12/2023 15:02:55,28.78,,,,
7,06/12/2023 15:12:55,28.78,,,,
8,06/12/2023 15:22:55,28.74,,,,
9,06/12/2023 15:32:55,28.91,,,,
10,06/12/2023 15:42:55,29.08,,,,
11,06/12/2023 15:52:55,29.38,,,,
12,06/12/2023 16:02:55,29.73,,,,
13,06/12/2023 16:12:55,29.73,,,,
14,06/12/2023 16:22:55,29.73,,,,
15,06/12/2023 16:32:55,29.73,,,,
16,06/12/2023 16:42:55,29.68,,,,
17,06/12/2023 16:52:55,29.68,,,,
18,06/12/2023 17:02:55,29.68,,,,
19,06/12/2023 17:12:55,29.64,,,,
20,06/12/2023 17:22:55,29.64,,,,
21,06/12/2023 17:32:55,29.68,,,,
22,06/12/2023 17:42:55,29.60,,,,
23,06/12/2023 17:52:55,29.60,,,,
24,06/12/2023 18:02:55,29.51,,,,
25,06/12/2023 18:12:55,29.51,,,,
26,06/12/2023 18:22:55,29.51,,,,
27,06/12/2023 18:32:55,29.56,,,,
28,06/12/2023 18:42:55,29.56,,,,
29,06/12/2023 18:52:55,29.64,,,,
30,06/12/2023 19:02:55,29.68,,,,
31,06/12/2023 19:12:55,29.60,,,,
32,06/12/2023 19:22:55,29.60,,,,
33,06/12/2023 19:32:55,29.56,,,,
34,06/12/2023 19:42:55,29.56,,,,
35,06/12/2023 19:52:55,29.60,,,,
36,06/12/2023 20:02:55,29.68,,,,
37,06/12/2023 20:12:55,29.77,,,,
38,06/12/2023 20:22:55,29.64,,,,
39,06/12/2023 20:32:55,29.43,,,,
40,06/12/2023 20:42:55,29.47,,,,
41,06/12/2023 20:52:55,29.60,,,,
42,06/12/2023 21:02:55,29.73,,,,
43,06/12/2023 21:12:55,29.77,,,,
44,06/12/2023 21:22:55,29.51,,,,
45,06/12/2023 21:32:55,29.43,,,,
46,06/12/2023 21:42:55,29.56,,,,
47,06/12/2023 21:52:55,29.68,,,,
48,06/12/2023 22:02:55,29.73,,,,
49,06/12/2023 22:12:55,29.77,,,,
50,06/12/2023 22:22:55,29.60,,,,
51,06/12/2023 22:32:55,29.38,,,,
52,06/12/2023 22:42:55,29.43,,,,
53,06/12/2023 22:52:55,29.51,,,,
54,06/12/2023 23:02:55,29.60,,,,
55,06/12/2023 23:12:55,29.68,,,,
56,06/12/2023 23:22:55,29.73,,,,
57,06/12/2023 23:32:55,29.81,,,,
58,06/12/2023 23:42:55,29.56,,,,
59,06/12/2023 23:52:55,29.38,,,,
60,06/13/2023 00:02:55,29.47,,,,
61,06/13/2023 00:12:55,29.60,,,,
62,06/13/2023 00:22:55,29.64,,,,
63,06/13/2023 00:32:55,29.68,,,,
64,06/13/2023 00:42:55,29.68,,,,
