#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Chan 1 Alarm Tripped,Chan 1 Alarm Cleared,Button Down,Button Up,Host Connected,End of File
1,07/04/2023 20:34:50,26.42,Logged,,,,,
2,07/04/2023 20:44:50,27.93,,,,,,
3,07/04/2023 20:54:50,27.93,,,,,,
4,07/04/2023 21:04:50,27.97,,,,,,
5,07/04/2023 21:14:50,28.01,,26.42,,,,
6,07/04/2023 21:24:50,27.93,Logged,,,,,
7,07/04/2023 21:34:50,27.93,,,,,,
8,07/04/2023 21:44:50,27.93,,,,,,
9,07/04/2023 21:54:50,27.93,,,,,,
10,07/04/2023 22:04:50,27.93,,,,,,
11,07/04/2023 22:14:50,27.93,,,,,,
12,07/04/2023 22:24:50,27.88,,,,,,
13,07/04/2023 22:34:50,27.93,,,,,,
14,07/04/2023 22:44:50,27.88,,,,,,
15,07/04/2023 22:54:50,27.84,,,,,,
16,07/04/2023 23:04:50,27.88,,,,,,
17,07/04/2023 23:14:50,27.88,,,,,,
18,07/04/2023 23:24:50,27.88,,,,,,
19,07/04/2023 23:34:50,27.80,,,,,,
20,07/04/2023 23:44:50,27.84,,,,,,
21,07/04/2023 23:54:50,27.80,,,,,,
22,07/05/2023 00:04:50,27.80,,,,,,
23,07/05/2023 00:14:50,27.80,,,,,,
24,07/05/2023 00:24:50,27.80,,,,,,
25,07/05/2023 00:34:50,27.71,,,,,,
26,07/05/2023 00:44:50,27.71,,,,,,
27,07/05/2023 00:54:50,27.71,,,,,,
28,07/05/2023 01:04:50,27.71,,,,,,
29,07/05/2023 01:14:50,27.75,,,,,,
30,07/05/2023 01:24:50,27.71,,,,,,
31,07/05/2023 01:34:50,27.75,,,,,,
32,07/05/2023 01:44:50,27.80,,,,,,
33,07/05/2023 01:54:50,27.75,,,,,,
34,07/05/2023 02:04:50,27.75,,,,,,
35,07/05/2023 02:14:50,27.75,,,,,,
36,07/05/2023 02:24:50,27.71,,,,,,
37,07/05/2023 02:34:50,27.67,,,,,,
38,07/05/2023 02:44:50,27.67,,,,,,
39,07/05/2023 02:54:50,27.63,,,,,,
40,07/05/2023 03:04:50,27.63,,,,,,
41,07/05/2023 03:14:50,27.63,,,,,,
42,07/05/2023 03:24:50,27.63,,,,,,
43,07/05/2023 03:34:50,27.63,,,,,,
44,07/05/2023 03:44:50,27.58,,,,,,
45,07/05/2023 03:54:50,27.58,,,,,,
46,07/05/2023 04:04:50,27.63,,,,,,
47,07/05/2023 04:14:50,27.63,,,,,,
48,07/05/2023 04:24:50,27.63,,,,,,
49,07/05/2023 04:34:50,27.67,,,,,,
50,07/05/2023 04:44:50,27.67,,,,,,
51,07/05/2023 04:54:50,27.67,,,,,,
52,07/05/2023 05:04:50,27.63,,,,,,
53,07/05/2023 05:14:50,27.63,,,,,,
54,07/05/2023 05:24:50,27.63,,,,,,
55,07/05/2023 05:34:50,27.63,,,,,,
56,07/05/2023 05:44:50,27.71,,,,,,
57,07/05/2023 05:54:50,27.67,,,,,,
58,07/05/2023 06:04:50,27.71,,,,,,
59,07/05/2023 06:14:50,27.71,,,,,,
60,07/05/2023 06:24:50,27.67,,,,,,
61,07/05/2023 06:34:50,27.71,,,,,,
62,07/05/2023 06:44:50,27.67,,,,,,
63,07/05/2023 06:54:50,27.71,,,,,,
64,07/05/2023 07:04:50,27.75,,,,,,
65,07/05/2023 07:14:50,27.75,,,,,,
66,07/05/2023 07:24:50,27.75,,,,,,
67,07/05/2023 07:34:50,27.84,,,,,,
68,07/05/2023 07:44:50,27.84,,,,,,
69,07/05/2023 07:54:50,27.84,,,,,,
70,07/05/2023 08:04:50,27.84,,,,,,
71,07/05/2023 08:14:50,27.97,,,,,,
72,07/05/2023 08:24:50,27.97,,,,,,
73,07/05/2023 08:34:50,28.10,,27.58,,,,
74,07/05/2023 08:44:50,28.10,,,,,,
75,07/05/2023 08:54:50,28.18,,,,,,
76,07/05/2023 09:04:50,28.27,,,,,,
77,07/05/2023 09:14:50,28.23,,,,,,
78,07/05/2023 09:24:50,28.23,,,,,,
79,07/05/2023 09:34:50,28.23,,,,,,
80,07/05/2023 09:44:50,28.18,,,,,,
81,07/05/2023 09:54:50,28.14,,,,,,
82,07/05/2023 10:04:50,28.18,,,,,,
83,07/05/2023 10:14:50,28.31,,,,,,
84,07/05/2023 10:24:50,28.35,,,,,,
85,07/05/2023 10:34:50,28.48,,,,,,
86,07/05/2023 10:44:50,28.53,,,,,,
87,07/05/2023 10:54:50,28.57,,,,,,
88,07/05/2023 11:04:50,29.00,,,,,,
89,07/05/2023 11:14:50,29.38,,,,,,
90,07/05/2023 11:24:50,29.64,,,,,,
91,07/05/2023 11:34:50,29.90,,,,,,
92,07/05/2023 11:44:50,30.07,,,,,,
